epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6789.94,1.72347,0.67916,0.88889,0.92738,0.90261,0.93878,0.44463,1.74343,0.67843,0.88717,0.000427565,0.000427565,0.000427565
57,6910.55,1.7557,0.6884,0.88859,0.92361,0.89918,0.93143,0.43062,1.78025,0.6943,0.89411,0.000412246,0.000412246,0.000412246
58,7026.84,1.71849,0.67918,0.88861,0.9301,0.90354,0.94307,0.45033,1.73918,0.66979,0.88696,0.000397019,0.000397019,0.000397019
59,7144.96,1.69664,0.66419,0.88295,0.92717,0.90728,0.94425,0.44833,1.73137,0.67141,0.88563,0.000381899,0.000381899,0.000381899
60,7262.85,1.70197,0.67008,0.88683,0.92771,0.90801,0.94002,0.44726,1.74072,0.67123,0.88757,0.000366899,0.000366899,0.000366899
61,7382.33,1.69338,0.66782,0.88741,0.92682,0.90832,0.94153,0.4468,1.73845,0.67103,0.88769,0.000352037,0.000352037,0.000352037
62,7508.03,1.68673,0.66512,0.88748,0.92985,0.90474,0.94488,0.45167,1.72773,0.67028,0.8845,0.000337325,0.000337325,0.000337325
63,7632.89,1.67687,0.6592,0.88375,0.92688,0.9068,0.94325,0.45029,1.73088,0.66675,0.88513,0.000322778,0.000322778,0.000322778
64,7754.64,1.69709,0.66378,0.89092,0.92365,0.90236,0.93345,0.43691,1.77342,0.68244,0.89289,0.000308412,0.000308412,0.000308412
65,7873.06,1.69925,0.66622,0.88538,0.92869,0.9043,0.94145,0.44976,1.74072,0.66911,0.88733,0.000294239,0.000294239,0.000294239
66,7990.25,1.67882,0.65672,0.88399,0.9314,0.90084,0.93991,0.44883,1.74911,0.67341,0.88976,0.000280275,0.000280275,0.000280275
67,8108.71,1.6843,0.65741,0.88547,0.93293,0.90604,0.94676,0.45433,1.72012,0.65887,0.88438,0.000266532,0.000266532,0.000266532
68,8225.28,1.66443,0.64916,0.87983,0.92992,0.90908,0.94764,0.45469,1.725,0.65945,0.88517,0.000253024,0.000253024,0.000253024
